Logging event: Receive | System Time 1520061793.99 | Logical Clock 314 
Logging event: Internal | System Time 1520061794.19 | Logical Clock 315 
Logging event: Send to Machine 2 | System Time 1520061794.39 | Logical Clock 316 
Logging event: Send to Both Machines | System Time 1520061794.59 | Logical Clock 317 
Logging event: Send to Both Machines | System Time 1520061794.8 | Logical Clock 318 
Logging event: Internal | System Time 1520061795.0 | Logical Clock 319 
Logging event: Receive | System Time 1520061795.21 | Logical Clock 321 
Logging event: Receive | System Time 1520061795.41 | Logical Clock 322 
Logging event: Receive | System Time 1520061795.61 | Logical Clock 323 
Logging event: Receive | System Time 1520061795.82 | Logical Clock 324 
Logging event: Internal | System Time 1520061796.02 | Logical Clock 325 
Logging event: Send to Machine 2 | System Time 1520061796.22 | Logical Clock 326 
Logging event: Internal | System Time 1520061796.43 | Logical Clock 327 
Logging event: Internal | System Time 1520061796.63 | Logical Clock 328 
Logging event: Send to Machine 0 | System Time 1520061796.83 | Logical Clock 329 
Logging event: Send to Machine 2 | System Time 1520061797.04 | Logical Clock 330 
